Department,Semester,Course Code,Course Name,L,T,P,S,C,Faculty,Schedule,total_students
DSAI,6,NEW14,Model Checking,3,0,0,4,4,Dr. Pavan,Yes,15
DSAI,6,NEW15,Quantum Communication,3,0,0,0,3,Dr. Aswath B,Yes,18
DSAI,6,NEW16,Quantum HPC and AI,1,0,0,0,1,Dr. Manish M (Dr. Aswath),Yes,21
DSAI,6,NEW17,Design Thinking and Innovation,3,1,0,0,4,Dr. Sandesh P,Yes,29
ECE,2,MA161,Linear Algebra,3,1,0,0,2,Dr. Somen Bhattacharjee,Yes,70
ECE,2,MA162,Optimization,3,1,0,0,2,Dr. Dibyajyothi Guha,Yes,70
ECE,2,CS264,Computer Architecture,3,0,2,0,2,Dr.Jagadish D N,Yes,70
ECE,2,HS152,English Language and Communication,3,0,0,0,3,Dr. Rajesh N S,Yes,70
ECE,2,CS163,Data Structures and Algorithms,3,0,2,0,4,Dr. Prabhu Prasad,Yes,70
ECE,2,CS324,Network Analysis,2,1,0,0,3,Dr. Sibasankar Padhy,Yes,70
ECE,2,NEW18,Data Science with Python,0,0,2,0,0,Dr. Abdul Wahid,Yes,26
ECE,2,NEW19,Introduction to Digital VLSI Design,0,0,2,0,0,Dr Prakash Pawar,Yes,29
ECE,2,NEW20,Industry Insights Program Part 1,0,0,1,0,0,Mr.Ram Subramanian & Mr. Sasi Kumar Sundara Rajan,Yes,33
ECE,2,NEW21,Principles of Quantum Physics,0,0,2,0,0,Dr. Aswath Babu & Pof. Ravi Shankar,Yes,17
ECE,2,NEW22,Linux for Engineers,0,0,2,0,0,Dr. Shirshendu L,Yes,23
ECE,2,NEW23,Photography101,0,0,1,0,0,Dr. Prabhu Prasad,Yes,35
ECE,2,NEW24,Introduction to Holistic Personality Development,0,0,1,0,0,Prof.Chachadi and Dr.Chandrika,Yes,26
ECE,2,NEW25,Visual Design – Principles and Application in Product Communication        ,0,0,2,0,0,Dr. Sandesh P,Yes,20
ECE,2,NEW26,Introduction to Internet of Things,0,0,2,0,0,Dr. Jagadeesha Bhat,Yes,24
ECE,2,ASD151,Introduction to Design,0,0,1,0,0,Dr. Sandesh P,Yes,28
ECE,2,HS151,Introduction to Personal Finance,0,0,2,0,0,Dr. Siddharth,Yes,31
